ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULTA01 ,1999,Tariq,Abdul-wahad,DEN,N,15,373,134,24,28,52,26,6,12,19,31,131,51,42,31,2,1
ABDULTA01 ,1999,Tariq,Abdul-wahad,ORL,N,46,1205,563,77,162,239,72,53,16,87,116,515,223,151,115,21,2
ABDULTA01 ,1999,Tariq,Abdul-wahad,TOT,N,61,1578,697,101,190,291,98,59,28,106,147,646,274,193,146,23,3
ABDURSH01 ,1999,Shareef,Abdur-rahim,VAN,N,82,3223,1663,218,607,825,271,89,87,249,244,1277,594,551,446,96,29
ALEXACO01 ,1999,Cory,Alexander,DEN,N,29,329,82,8,34,42,58,24,2,28,39,98,28,22,17,35,9
ALLENRA02 ,1999,Ray,Allen,MIL,N,82,3070,1809,83,276,359,308,110,19,183,187,1411,642,398,353,407,172
ALSTORA01 ,1999,Rafer,Alston,MIL,N,27,361,60,5,18,23,70,12,0,29,29,95,27,4,3,14,3
AMAECJO01 ,1999,John,Amaechi,ORL,N,80,1684,836,62,204,266,95,35,37,139,161,700,306,291,223,6,1
ANDERDE01 ,1999,Derek,Anderson,LAC,N,64,2201,1080,80,178,258,220,90,11,167,149,860,377,309,271,178,55
ANDERKE02 ,1999,Kenny,Anderson,BOS,N,82,2593,1149,55,170,225,420,139,8,130,230,986,434,253,196,220,85
ANDERNI01 ,1999,Nick,Anderson,SAC,N,72,2094,781,83,256,339,123,94,16,95,118,782,306,76,37,397,132
ANDERSH01 ,1999,Shandon,Anderson,HOU,N,82,2700,1009,91,293,384,239,96,32,194,182,778,368,253,194,225,79
ANSTECH01 ,1999,Chris,Anstey,CHI,N,73,1007,439,90,190,280,65,29,25,80,180,364,161,147,116,6,1
ANTHOGR01 ,1999,Greg,Anthony,POR,N,82,1548,514,17,116,133,208,59,9,85,143,416,169,114,88,233,88
ARMSTBJ01 ,1999,B.j.,Armstrong,CHI,N,27,583,201,2,45,47,78,7,1,40,34,186,83,25,22,29,13
