ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDURSH01 ,2007,Shareef,Abdur-Rahim,SAC,N,6,51,10,6,4,10,4,1,0,1,9,14,3,4,4,0,0
AfflaAr01 ,2007,Arron,Afflalo,DET,N,75,976,276,36,101,137,52,31,8,34,83,241,99,87,68,48,10
AgerMa01  ,2007,Maurice,Ager,DAL,N,12,77,15,1,3,4,4,0,1,3,11,27,5,6,5,8,0
AgerMa01  ,2007,Maurice,Ager,NJN,N,14,87,36,3,6,9,4,0,0,3,6,38,16,6,1,11,3
AgerMa01  ,2007,Maurice,Ager,TOT,N,26,164,51,4,9,13,8,0,1,6,17,65,21,12,6,19,3
AhearBl01 ,2007,Blake,Ahearn,MIA,N,10,159,65,0,15,15,15,6,0,17,16,50,14,29,28,28,9
AldriLa01 ,2007,LaMarcus,Aldridge,POR,N,76,2655,1350,218,355,573,122,55,94,126,240,1161,561,298,227,7,1
ALLENMA01 ,2007,Malik,Allen,NJN,N,48,763,261,42,86,128,29,15,21,32,89,260,124,13,12,3,1
ALLENMA01 ,2007,Malik,Allen,DAL,N,25,335,77,24,44,68,15,4,10,13,60,66,33,12,11,0,0
ALLENMA01 ,2007,Malik,Allen,TOT,N,73,1098,338,66,130,196,44,19,31,45,149,326,157,25,23,3,1
ALLENRA02 ,2007,Ray,Allen,BOS,N,73,2622,1273,75,193,268,225,65,16,127,147,987,439,237,215,452,180
ALLENTO01 ,2007,Tony,Allen,BOS,N,75,1378,494,34,134,168,114,62,21,109,168,388,169,181,138,57,18
AllreLa01 ,2007,Lance,Allred,CLE,N,3,10,3,0,1,1,0,0,0,0,1,4,1,2,1,0,0
AlmonMo01 ,2007,Morris,Almond,UTA,N,9,40,13,0,2,2,3,1,0,2,5,15,4,6,4,4,1
ALSTORA01 ,2007,Rafer,Alston,HOU,N,74,2527,969,28,232,260,392,98,18,160,139,924,364,137,98,407,143
AmundLo01 ,2007,Louis,Amundson,PHI,N,16,63,18,7,5,12,0,1,1,2,13,16,8,7,2,0,0
ANDERCH01 ,2007,Chris,Andersen,NOH,N,5,34,6,2,7,9,0,0,4,1,6,7,2,4,2,0,0
ANDERDE01 ,2007,Derek,Anderson,CHR,N,28,393,141,9,43,52,44,12,1,25,49,125,47,38,28,52,19
ANTHOCA01 ,2007,Carmelo,Anthony,DEN,N,77,2804,1978,178,393,571,259,98,39,252,253,1481,728,590,464,164,58
AnthoJo01 ,2007,Joel,Anthony,MIA,N,24,497,85,38,55,93,3,9,31,17,55,60,28,49,29,0,0
ARENAGI01 ,2007,Gilbert,Arenas,WAS,N,13,424,252,6,45,51,66,23,1,49,30,197,78,96,74,78,22
ARIZATR01 ,2007,Trevor,Ariza,ORL,N,11,116,36,5,19,24,8,5,3,5,9,31,14,15,8,3,0
ARIZATR01 ,2007,Trevor,Ariza,LAL,N,24,433,156,25,59,84,36,26,8,18,36,105,55,60,41,15,5
ARIZATR01 ,2007,Trevor,Ariza,TOT,N,35,549,192,30,78,108,44,31,11,23,45,136,69,75,49,18,5
ARMSTDA01 ,2007,Darrell,Armstrong,NJN,N,50,547,123,17,51,68,73,28,2,41,54,110,40,30,20,69,23
ArmstHi01 ,2007,Hilton,Armstrong,NOH,N,65,729,178,64,98,162,23,15,34,59,130,148,67,70,44,0,0
ARROYCA01 ,2007,Carlos,Arroyo,ORL,N,62,1266,430,10,103,113,219,26,2,77,85,348,157,102,87,84,29
ARTESRO01 ,2007,Ron,Artest,SAC,N,57,2168,1166,101,226,327,199,134,38,147,159,962,435,295,212,221,84
ATKINCH01 ,2007,Chucky,Atkins,DEN,N,24,350,113,3,28,31,47,9,1,10,27,122,42,9,4,79,25
AugusJa01 ,2007,James,Augustine,ORL,N,25,149,40,16,14,30,2,5,2,6,18,34,18,8,4,0,0
AzubuKe01 ,2007,Kelenna,Azubuike,GSW,N,81,1736,692,107,217,324,75,45,34,58,159,587,261,138,99,195,71
BalkmRe01 ,2007,Renaldo,Balkman,NYK,N,65,949,224,83,133,216,40,44,30,37,132,186,91,95,41,12,1
BANKSMA01 ,2007,Marcus,Banks,PHO,N,24,308,125,3,17,20,25,8,8,16,38,109,44,16,12,65,25
BANKSMA01 ,2007,Marcus,Banks,MIA,N,13,269,114,2,26,28,37,6,5,21,30,85,42,19,15,40,15
BANKSMA01 ,2007,Marcus,Banks,TOT,N,37,577,239,5,43,48,62,14,13,37,68,194,86,35,27,105,40
BARBOLE01 ,2007,Leandrinho,Barbosa,PHO,N,82,2421,1283,40,191,231,218,75,18,117,195,1022,472,213,175,423,164
BareaJo01 ,2007,Jose,Barea,DAL,N,44,463,191,4,43,47,58,14,1,35,48,170,71,35,28,54,21
BargnAn01 ,2007,Andrea,Bargnani,TOR,N,78,1856,792,50,238,288,89,23,37,88,210,725,280,169,142,261,90
BARNEMA02 ,2007,Matt,Barnes,GSW,N,73,1407,486,94,230,324,139,48,36,85,159,441,187,79,59,181,53
BARREAN01 ,2007,Andre,Barrett,LAC,N,4,26,6,0,1,1,7,0,0,0,1,5,2,2,1,3,1
BARROEA01 ,2007,Earl,Barron,MIA,N,46,891,326,67,131,198,30,19,8,48,118,327,132,87,61,13,1
BARRYBR01 ,2007,Brent,Barry,SAS,N,31,554,221,12,43,55,54,17,3,18,43,160,77,20,19,112,48
BASSBR01  ,2007,Brandon,Bass,DAL,N,79,1554,654,120,227,347,58,22,48,82,150,493,246,197,162,3,0
BASTOMA01 ,2007,Maceo,Baston,TOR,N,15,104,41,9,17,26,3,2,4,4,20,25,17,10,7,0,0
BATTISH01 ,2007,Shane,Battier,HOU,N,80,2906,744,131,277,408,155,77,90,78,196,619,265,101,75,369,139
BelinMa01 ,2007,Marco,Belinelli,GSW,N,33,240,95,3,11,14,15,5,0,12,15,93,36,9,7,41,16
BELLCH01  ,2007,Charlie,Bell,MIL,N,68,1632,514,31,136,167,210,52,2,77,121,486,185,87,70,217,74
BELLRA01  ,2007,Raja,Bell,PHO,N,75,2647,889,47,227,274,168,54,27,65,220,752,317,91,79,438,176
BIBBYMI01 ,2007,Mike,Bibby,SAC,N,15,471,203,11,45,56,75,19,2,38,34,192,78,31,23,62,24
BIBBYMI01 ,2007,Mike,Bibby,ATL,N,32,1097,464,5,99,104,215,35,2,81,63,411,170,69,55,187,69
BIBBYMI01 ,2007,Mike,Bibby,TOT,N,47,1568,667,16,144,160,290,54,4,119,97,603,248,100,78,249,93
BIEDRAN01 ,2007,Andris,Biedrins,GSW,N,76,2077,796,254,488,742,75,56,93,85,262,541,340,187,116,0,0
BILLUCH01 ,2007,Chauncey,Billups,DET,N,78,2526,1326,42,170,212,529,101,17,160,130,878,394,437,401,342,137
BLAKEST01 ,2007,Steve,Blake,POR,N,81,2422,692,31,165,196,413,55,4,113,133,640,261,64,49,297,121
BLATCAN01 ,2007,Andray,Blatche,WAS,N,82,1678,618,164,261,425,92,53,113,112,258,536,254,154,107,13,3
BLOUNMA01 ,2007,Mark,Blount,MIA,N,69,1544,581,69,194,263,41,33,34,70,133,514,238,138,88,44,17
BOGANKE01 ,2007,Keith,Bogans,ORL,N,82,2205,711,42,224,266,104,59,10,53,164,588,241,110,81,409,148
BOGUTAN01 ,2007,Andrew,Bogut,MIL,N,78,2721,1119,244,518,762,199,65,135,172,254,909,465,322,189,7,0
BONNEMA01 ,2007,Matt,Bonner,SAS,N,68,857,326,53,139,192,32,14,17,39,111,292,121,44,38,138,46
BooneJo01 ,2007,Josh,Boone,NJN,N,70,1771,575,192,322,514,55,36,61,68,155,435,238,217,99,0,0
BOOTHCA01 ,2007,Calvin,Booth,PHI,N,31,204,24,6,32,38,8,6,18,4,35,27,9,10,6,0,0
BOOZECA01 ,2007,Carlos,Boozer,UTA,N,81,2824,1708,197,646,843,233,100,41,210,293,1296,709,393,290,1,0
BOSHCH01  ,2007,Chris,Bosh,TOR,N,67,2425,1496,174,409,583,171,63,67,153,157,1027,507,559,472,25,10
BOWENBR01 ,2007,Bruce,Bowen,SAS,N,81,2455,483,33,201,234,91,54,22,46,177,428,174,69,45,215,90
BOWENRY01 ,2007,Ryan,Bowen,NOH,N,53,659,114,55,45,100,25,32,11,15,77,100,49,29,16,1,0
BOYKIEA01 ,2007,Earl,Boykins,CHR,N,36,574,185,9,25,34,97,13,0,41,21,172,61,59,49,44,14
BRANDEL01 ,2007,Elton,Brand,LAC,N,8,274,141,21,43,64,16,3,15,17,21,115,52,47,37,0,0
BreweCo01 ,2007,Corey,Brewer,MIN,N,79,1805,459,82,211,293,111,77,24,89,189,486,182,110,88,36,7
BreweRo02 ,2007,Ronnie,Brewer,UTA,N,76,2088,914,97,121,218,134,129,19,69,110,634,354,257,195,50,11
BREZEPR01 ,2007,Primoz,Brezec,DET,N,17,98,27,7,12,19,4,2,2,5,23,13,10,14,7,0,0
BREZEPR01 ,2007,Primoz,Brezec,CHR,N,20,267,37,14,30,44,6,0,4,15,35,43,17,5,3,0,0
BREZEPR01 ,2007,Primoz,Brezec,TOR,N,13,110,48,9,9,18,1,1,2,4,25,38,17,21,14,0,0
BREZEPR01 ,2007,Primoz,Brezec,TOT,N,50,475,112,30,51,81,11,3,8,24,83,94,44,40,24,0,0
BrookAa01 ,2007,Aaron,Brooks,HOU,N,51,610,264,13,43,56,87,13,5,44,69,225,93,49,42,109,36
BrownAn01 ,2007,Andre,Brown,MEM,N,33,285,100,36,56,92,8,7,4,14,38,78,39,49,22,0,0
BROWNDE02 ,2007,Devin,Brown,CLE,N,79,1761,589,60,197,257,176,51,7,97,144,537,218,142,107,147,46
BROWNKW01 ,2007,Kwame,Brown,MEM,N,15,204,52,19,37,56,17,6,4,14,24,39,19,32,14,0,0
BROWNKW01 ,2007,Kwame,Brown,LAL,N,23,511,132,31,101,132,28,16,18,37,58,103,53,64,26,0,0
BROWNKW01 ,2007,Kwame,Brown,TOT,N,38,715,184,50,138,188,45,22,22,51,82,142,72,96,40,0,0
BROWNPJ01 ,2007,P.J.,Brown,BOS,N,18,208,39,29,39,68,10,5,8,10,29,41,14,16,11,1,0
BrownSh01 ,2007,Shannon,Brown,CHI,N,6,22,9,1,1,2,0,1,2,5,2,15,3,6,3,1,0
BrownSh01 ,2007,Shannon,Brown,CLE,N,13,196,96,5,12,17,14,10,1,18,24,100,38,21,12,25,8
