ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
AfflaAr01 ,2009,Arron,Afflalo,DEN,N,82,2230,724,59,193,252,138,46,30,74,225,585,272,98,72,249,108
AjincAl01 ,2009,Alexis,Ajinca,CHR,N,6,30,10,1,3,4,0,1,1,2,5,10,5,1,0,0,0
AldriLa01 ,2009,LaMarcus,Aldridge,POR,N,78,2922,1393,192,435,627,160,67,48,104,231,1169,579,304,230,16,5
AlexaJo01 ,2009,Joe,Alexander,CHI,N,8,29,4,2,3,5,2,1,1,0,9,6,1,3,2,1,0
BalkmRe01 ,2009,Renaldo,Balkman,DEN,N,13,91,14,4,19,23,7,8,2,6,16,18,6,6,2,7,0
BanksMa01 ,2009,Marcus,Banks,TOR,N,22,244,109,3,20,23,26,12,2,20,30,73,39,29,24,24,7
BarboLe01 ,2009,Leandro,Barbosa,PHO,N,44,786,418,11,58,69,64,23,12,46,71,365,155,73,64,136,44
BareaJo01 ,2009,Jose,Barea,DAL,N,78,1546,596,17,129,146,258,35,6,102,119,527,232,90,76,157,56
BargnAn01 ,2009,Andrea,Bargnani,TOR,N,80,2799,1376,105,388,493,93,25,111,120,215,1143,537,234,181,325,121
BarneMa02 ,2009,Matt,Barnes,ORL,N,81,2097,716,106,339,445,134,59,30,112,185,557,271,146,108,207,66
BarroEa01 ,2009,Earl,Barron,NYK,N,7,232,82,31,46,77,8,4,4,11,24,68,30,29,22,0,0
BassBr01  ,2009,Brandon,Bass,ORL,N,50,648,290,54,73,127,19,12,27,31,69,233,119,63,52,0,0
BattiSh01 ,2009,Shane,Battier,HOU,N,67,2168,534,74,238,312,164,53,76,64,139,447,178,106,77,279,101
BattiTo01 ,2009,Tony,Battie,NJN,N,15,134,36,4,19,23,3,4,2,3,19,40,14,10,7,4,1
BatumNi01 ,2009,Nicolas,Batum,POR,N,37,918,375,32,109,141,44,24,25,27,83,268,139,51,43,132,54
BayleJe01 ,2009,Jerryd,Bayless,POR,N,74,1304,630,18,102,120,172,26,5,94,152,483,200,242,201,92,29
BeaslMi01 ,2009,Michael,Beasley,MIA,N,78,2328,1156,123,375,498,100,80,49,131,221,1040,468,240,192,102,28
CambyMa01 ,2009,Marcus,Camby,POR,N,23,718,162,83,172,255,35,26,47,27,56,145,72,31,18,1,0
CambyMa01 ,2009,Marcus,Camby,LAC,N,51,1596,394,166,450,616,151,69,99,64,105,356,166,91,60,6,2
CambyMa01 ,2009,Marcus,Camby,TOT,N,74,2314,556,249,622,871,186,95,146,91,161,501,238,122,78,7,2
CardiBr01 ,2009,Brian,Cardinal,MIN,N,29,267,48,7,22,29,24,9,3,7,56,36,14,18,17,9,3
CarneRo01 ,2009,Rodney,Carney,PHI,N,68,857,319,26,111,137,37,25,20,21,79,282,113,63,52,135,41
CarroDe01 ,2009,DeMarre,Carroll,MEM,N,71,795,209,53,97,150,33,28,9,24,107,222,88,53,33,6,0
CarroMa01 ,2009,Matt,Carroll,DAL,N,25,121,46,4,8,12,6,5,0,7,13,50,18,6,6,19,4
CarteAn01 ,2009,Anthony,Carter,DEN,N,54,859,180,17,72,89,160,39,13,58,72,181,76,13,11,63,17
CarteVi01 ,2009,Vince,Carter,ORL,N,75,2310,1244,33,260,293,236,53,18,106,189,1015,434,306,257,324,119
CasspOm01 ,2009,Omri,Casspi,SAC,N,77,1931,792,75,274,349,95,54,17,98,125,672,300,174,117,203,75
ChalmMa01 ,2009,Mario,Chalmers,MIA,N,73,1807,521,25,110,135,246,91,12,123,175,454,182,110,82,236,75
ChandTy01 ,2009,Tyson,Chandler,CHR,N,51,1163,333,114,206,320,16,17,55,91,138,190,109,157,115,0,0
ChandWi01 ,2009,Wilson,Chandler,NYK,N,65,2320,993,93,255,348,138,46,49,108,184,860,412,160,129,150,40
EvansTy01 ,2009,Tyreke,Evans,SAC,N,72,2677,1450,66,314,380,414,109,26,216,204,1165,533,465,348,141,36
FarmaJo01 ,2009,Jordan,Farmar,LAL,N,82,1474,591,14,117,131,127,52,11,72,109,515,224,85,57,229,86
FeltoRa01 ,2009,Raymond,Felton,CHR,N,80,2643,968,53,235,288,446,123,22,168,172,846,388,173,132,156,60
FernaRu01 ,2009,Rudy,Fernandez,POR,N,62,1441,503,35,129,164,127,62,11,72,87,423,160,98,85,266,98
FesenKy01 ,2009,Kyrylo,Fesenko,UTA,N,49,408,128,33,57,90,15,6,19,24,78,95,52,57,24,1,0
FinleMi01 ,2009,Michael,Finley,SAS,N,25,395,93,5,33,38,19,6,4,13,12,97,37,9,6,41,13
FinleMi01 ,2009,Michael,Finley,BOS,N,21,314,109,1,32,33,24,4,2,8,21,87,44,6,2,41,19
FinleMi01 ,2009,Michael,Finley,TOT,N,46,709,202,6,65,71,43,10,6,21,33,184,81,15,8,82,32
FisheDe01 ,2009,Derek,Fisher,LAL,N,82,2227,615,25,145,170,201,90,9,78,202,558,212,132,113,224,78
FlynnJo01 ,2009,Jonny,Flynn,MIN,N,81,2339,1094,24,167,191,356,82,2,233,98,952,397,270,223,215,77
FordTJ01  ,2009,T.J.,Ford,IND,N,47,1189,484,41,108,149,180,44,11,90,102,418,186,135,104,50,8
FosteJe01 ,2009,Jeff,Foster,IND,N,16,255,49,34,47,81,21,3,4,14,45,46,22,9,5,1,0
